customer_id,order_id,delivery_rating,food_quality_rating,delivery_time_satisfaction,suggestions_for_improvement,would_recommend,order_frequency
CUST60918,ORD53514,2,4,Very satisfied,,,occasional
CUST06647,ORD01588,4,3,Disastisfied,More payment otpions,,occasional
CUST45902,ORD12177,2,3,Satisfied,Beter packaging,,Monthly
,,2,3,Satisfied,,No,Monthly
CUST23457,ORD88478,3,1,Satisfied,More payment otpions,,occasional
CUST33890,ORD08710,5,1,Satisfied,better Food quality,,DAILY
CUST97751,ORD01785,1,1,Very satisfied,,Yes,
CUST71370,ORD33770,4,4,Satisfied,Beter packaging,,
CUST58590,ORD20459,3,2,Neutral,Beter packaging,,DAILY
CUST33164,,2,4,Very satisfied,Beter packaging,Yes,weekly
CUST69999,ORD57369,5,1,Neutral,,Yes,DAILY
CUST58250,ORD02810,3,,Disastisfied,,No,DAILY
CUST20107,ORD84950,3,3,Satisfied,better Food quality,No,occasional
CUST33358,ORD54991,5,1,Disastisfied,faster delivery,No,Monthly
CUST67560,ORD44145,1,1,Satisfied,faster delivery,Yes,weekly
CUST86885,ORD37287,2,,Very satisfied,better Food quality,No,occasional
,ORD47294,3,10,Neutral,faster delivery,Yes,Monthly
CUST18423,ORD84806,5,4,Disastisfied,,Yes,DAILY
,ORD30503,4,1,VERY dissatisfied,,,occasional
CUST76274,ORD58130,5,1,VERY dissatisfied,Beter packaging,Yes,occasional
CUST85097,,5,2,Neutral,better Food quality,Yes,
CUST93311,ORD88920,5,3,VERY dissatisfied,better Food quality,No,weekly
CUST68745,ORD08170,5,5,Very satisfied,better Food quality,,Monthly
CUST18891,ORD01759,2,1,Very satisfied,faster delivery,,weekly
CUST40186,ORD48028,3,5,Neutral,Beter packaging,Yes,weekly
CUST88947,,2,1,Satisfied,better Food quality,No,Monthly
CUST48499,ORD80569,2,1,Very satisfied,faster delivery,,
,ORD91905,2,5,Very satisfied,,Yes,occasional
CUST67408,ORD01968,2,5,VERY dissatisfied,better Food quality,,
CUST45137,ORD31579,1,,Very satisfied,More payment otpions,Yes,DAILY
CUST02385,ORD08854,3,4,VERY dissatisfied,Beter packaging,Yes,DAILY
,ORD04897,3,3,Neutral,More payment otpions,,Monthly
CUST39683,ORD59984,2,4,Very satisfied,More payment otpions,No,occasional
,ORD94868,3,,Neutral,More payment otpions,,weekly
CUST80095,ORD13706,2,3,Neutral,More payment otpions,Yes,occasional
CUST20671,ORD08924,3,2,Disastisfied,faster delivery,No,Monthly
CUST42508,ORD95865,2,2,Satisfied,Beter packaging,Yes,weekly
CUST80100,,4,2,Neutral,faster delivery,No,
CUST95603,ORD31531,3,5,Satisfied,More payment otpions,Yes,
CUST05658,,1,5,Satisfied,,No,
CUST88697,ORD04116,N/A,3,Very satisfied,,,weekly
CUST99311,ORD14795,1,5,Disastisfied,better Food quality,No,Monthly
CUST09036,ORD98019,5,3,Satisfied,More payment otpions,Yes,weekly
CUST51968,ORD07279,4,3,Satisfied,better Food quality,,weekly
CUST10146,ORD85276,3,3,VERY dissatisfied,better Food quality,,DAILY
CUST80116,ORD38736,2,1,Neutral,,No,weekly
CUST84218,ORD21865,4,2,Neutral,More payment otpions,,occasional
CUST35153,ORD37595,3,4,VERY dissatisfied,better Food quality,No,Monthly
CUST54625,ORD00868,1,4,Disastisfied,More payment otpions,,weekly
CUST51066,ORD04970,4,4,Disastisfied,better Food quality,Yes,
CUST92059,ORD08882,2,3,Very satisfied,,,weekly
CUST11170,ORD81757,2,1,VERY dissatisfied,More payment otpions,Yes,DAILY
CUST15039,ORD48631,5,,Disastisfied,More payment otpions,No,Monthly
CUST06833,ORD82325,1,1,Satisfied,faster delivery,Yes,DAILY
CUST89494,ORD74191,1,1,VERY dissatisfied,Beter packaging,,DAILY
,ORD95016,4,,Satisfied,Beter packaging,Yes,occasional
CUST68741,ORD49701,2,4,Disastisfied,better Food quality,,Monthly
CUST92282,ORD22533,1,4,VERY dissatisfied,More payment otpions,No,occasional
CUST56652,,1,5,Very satisfied,faster delivery,,occasional
customer20713,ORD54127,4,1,Very satisfied,,Yes,DAILY
customer98786,ORD50123,3,3,Disastisfied,better Food quality,No,occasional
CUST01007,ORD18892,5,2,Satisfied,,Yes,
CUST17777,,5,4,Disastisfied,,Yes,
CUST35721,ORD03123,5,3,Satisfied,More payment otpions,Yes,DAILY
CUST65591,,2,3,Neutral,,No,
CUST13867,ORD69526,5,,Disastisfied,faster delivery,No,
CUST35771,ORD01495,3,4,VERY dissatisfied,More payment otpions,No,occasional
CUST75765,,4,,VERY dissatisfied,,Yes,
CUST04944,ORD01570,5,2,Very satisfied,,,occasional
CUST65820,ORD96233,N/A,2,Satisfied,More payment otpions,No,
CUST40336,ORD28875,N/A,1,VERY dissatisfied,faster delivery,Yes,weekly
CUST78924,ORD02211,1,5,Very satisfied,More payment otpions,,weekly
CUST95229,ORD62511,2,5,Disastisfied,better Food quality,,Monthly
CUST47043,ORD86606,3,2,Satisfied,faster delivery,,
